divi,"tsha0002-3, achz0001-3, unkn0130-3, cape0001-3, jeru0554-3, ashk0003a-3",do,VERB,w-divi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
domine,jeru0306-1,dominus,NOUN,w-domine,,y,lord,,,,,,y,honorific,lord,,,,,y,lord,,,,,,,,,,,,,,,,,
domini,megi0002-10,dominus,NOUN,w-domini,,y,lord,,,,,,y,honorific,lord,,,,,y,lord,,,,,,,,,,,,,,,,,
domino,"maay0001-13, bshe0006-3, caes0009-6",dominus,NOUN,w-domino,,y,lord,,,,,,y,honorific,lord,,,,,y,lord,,,,,,,,,,,,,,,,,
Domitianus,"unkn0130-6, achz0001-6",Domitianus,PROPN,w-Domitianus,,,,y,m,other,Domitianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
dono,caes0037-8,donum,NOUN,w-dono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duabus,unkn0130-30,duo,NUM,w-duabus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duumviralem,caes0003-5,duumviralis,ADJ,w-duumviralem,,,,,,,,,y,government,duovir,,,,,,,,,,,,,,,,,,,,,,,
e,"masa0941-28, masa0941-24, masa0941-25",e,X,w-e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egregio,caes0011-4,egregius,ADJ,w-egregio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eius,"maay0001-32, caes0009-24, caes0019-7, caes0146-18, caes0044-10, caes0029-4, caes0031-15, bshe0006-23",is,DET,w-eius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eius,"caes0006-17, caes0014-24, caes0007-10",eius,NOUN,w-eius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eorum,caes0017-24,eorum,NOUN,w-eorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eques,nabl0002-4,eques,NOUN,w-eques,,,,,,,,,y,government,equestrian,,,,,,,,,,,,,,,,,,,,,,,
equite,caes0010-19,eques,NOUN,w-equite,,,,,,,,,y,government,equestrian,,,,,,,,,,,,,,,,,,,,,,,
equites,unkn0130-25,eques,NOUN,w-equites,,,,,,,,,y,government,equestrian,,,,,,,,,,,,,,,,,,,,,,,
equitum,tsha0001-8,eques,NOUN,w-equitum,,,,,,,,,y,government,equestrian,,,,,,,,,,,,,,,,,,,,,,,
est,emma0001-20,est,NOUN,w-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et,"unkn0131-26, caes0148-11, unkn0130-93, caes0146-23, unkn0130-54, yotv0001-8, caes0014-2, unkn0130-42, unkn0130-39, ashk0003a-22, yotv0001-10, maay0001-7, caes0354-3, unkn0130-76, unkn0130-50, unkn0130-59, caes0106-11, caes0017-2, unkn0130-56, kara0001-11, unkn0130-66, caes0146-21, caes0010-21, caes0146-19, megi0002-8, caes0018-19, yotv0001-5, unkn0130-62, unkn0130-26, ashk0003b-7, unkn0130-46, caes0010-7, caes0146-26, unkn0130-31",et,CCONJ,w-et,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eudemi,"masa0950-3, masa0949-3",Eudemus,PROPN,w-Eudemi,,,,y,m,other,Eudemus,,,,,,,,,,,,,,,,,,,,,,,,,,,
