א,"unkn0102-1, jeru0492-5, jord0001-419",א,X,w-א,UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפלגנה,unkn0101-3,אפלגנה,PROPN,w-אפלגנה,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,y,f,Jewish,Apollogena,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפמלס,,אפמלס,,w-אפמלס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אק,,,,w-אק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבגלא,erra0002-1,ארבגלא,PROPN,w-ארבגלא,ADVERB SUF_PRONOMINAL SUF_TYPE_NOMINATIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Arbagla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבע,"masa0585-1, masa0586-1",אַרְבָּעָה,X,w-ארבע,NUMBER FEMININE PLURAL ABSOLUTECONSTRUCT UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבעה,jord0001-171,אַרְבָּעָה,X,w-ארבעה,NUMBER MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבעין,jord0001-66,אַרְבְּעָא,X,w-ארבעין,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארו,,,,w-ארו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארובות,jord0001-416,אֲרֻבָּה,NOUN,w-ארובות,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,hole,,,,,
ארונו,"beth0245-2, beth0246-2, beth0248-2, beth0250-2",אָרוֹן,NOUN,w-ארונו,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,y,coffin,,,,,
ארונות,beth0239-2,אָרוֹן,NOUN,w-ארונות,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,coffin,,,,,
ארונן,beth0244-2,אָרוֹן,NOUN,w-ארונן,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME  UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,coffin,,,,,
אריה,tibe0001-4,אַרְיֵה,PROPN,w-אריה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Zodiac sign,Leo
ארס,jord0001-7,,,w-ארס,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארסטון,akld0024-5,אַרְסְטוֹן,PROPN,w-ארסטון,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Ariston,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשמנ,tdor0002-3,,PROPN,w-אשמנ,[none provided],,,y,m,Other,Eshmunazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשעיה,masa0411-1,אשעיה,PROPN,w-אשעיה,Aramaic 1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE VERB FEMININE SINGULAR PERSON_3 PRESENT PASSIVE UNSPECIFIED,,,y,m,Jewish,Oshaiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשר,mger0150-1,אֲשֶׁר,CCONJ,w-אשר,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשריא,,,,w-אשריא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשת,"jeru0390-3, masa0400-1, jeru0017-2",אִשָּׁה,NOUN,w-אשת,NOUN FEMININE SINGULAR CONSTRUCT UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,wife,,,,,,,,,,,,,,,,,
אשתו,"mger0150-6, beth0246-6",אִשָּׁה,NOUN,w-אשתו,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,wife,,,,,,,,,,,,,,,,,
את,"jord0001-133, jord0001-360, qumr0001-11, beth0250-11, qumr0001-27",אֶת,PREP,w-את,AT_PREP UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אתגלות,jord0001-210,אֶתְגָּלוֹת,NOUN,w-אתגלות,VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_NOMINATIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,exile,,,
אתה,"jord0001-114, jord0001-37",אֲנִי,PRON,w-אתה,PRONOUN MASCULINE SINGULAR PERSON_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אתת,jeru0017-5,אתתא,,w-אתת,[none provided],,,,,,,,,,,,,,,y,wife,,,,,,,,,,,,,,,,,
ב,"jeru0369-1, jord0001-300, unkn0102-2",,,w-ב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
